iter	Passed	Remaining
1354	24524	8054
1355	24545	8037
1356	24563	8018
1357	24580	8000
1358	24597	7981
1359	24614	7963
1360	24634	7946
1361	24652	7927
1362	24668	7909
1363	24682	7889
1364	24697	7870
1365	24713	7851
1366	24729	7833
1367	24744	7814
1368	24761	7795
1369	24778	7777
1370	24794	7758
1371	24812	7740
1372	24827	7721
1373	24845	7703
1374	24863	7685
1375	24881	7666
1376	24897	7648
1377	24915	7630
1378	24930	7611
1379	24947	7592
1380	24963	7573
1381	24979	7555
1382	24996	7536
1383	25012	7518
1384	25029	7499
1385	25044	7480
1386	25059	7461
1387	25076	7443
1388	25093	7425
1389	25109	7406
1390	25124	7387
1391	25140	7368
1392	25155	7349
1393	25170	7330
1394	25185	7312
1395	25201	7293
1396	25216	7274
1397	25232	7255
1398	25247	7236
1399	25263	7218
1400	25277	7199
1401	25293	7180
1402	25312	7162
1403	25328	7143
1404	25343	7125
1405	25360	7106
1406	25377	7088
1407	25393	7069
1408	25411	7051
1409	25431	7034
1410	25451	7016
1411	25469	6998
1412	25484	6979
1413	25500	6961
1414	25516	6942
1415	25531	6923
1416	25547	6905
1417	25562	6886
1418	25580	6868
1419	25594	6849
1420	25609	6830
1421	25625	6811
1422	25640	6792
1423	25657	6774
1424	25672	6755
1425	25688	6737
1426	25704	6718
1427	25720	6700
1428	25736	6681
1429	25749	6662
1430	25767	6644
1431	25785	6626
1432	25800	6607
1433	25819	6589
1434	25838	6572
1435	25854	6553
1436	25871	6535
1437	25891	6517
1438	25908	6499
1439	25925	6481
1440	25941	6462
1441	25956	6444
1442	25973	6425
1443	25987	6406
1444	26003	6388
1445	26018	6369
1446	26038	6352
1447	26053	6333
1448	26069	6314
1449	26085	6296
1450	26102	6278
1451	26118	6259
1452	26136	6241
1453	26152	6223
1454	26169	6205
1455	26185	6186
1456	26201	6168
1457	26217	6149
1458	26236	6132
1459	26256	6114
1460	26272	6096
1461	26289	6077
1462	26306	6059
1463	26322	6041
1464	26337	6022
1465	26353	6004
1466	26371	5986
1467	26386	5967
1468	26404	5949
1469	26421	5931
1470	26436	5912
1471	26452	5894
1472	26467	5875
1473	26484	5857
1474	26498	5838
1475	26515	5820
1476	26533	5802
1477	26549	5784
1478	26565	5765
1479	26581	5747
1480	26598	5729
1481	26615	5711
1482	26630	5692
1483	26645	5673
1484	26661	5655
1485	26676	5636
1486	26691	5618
1487	26707	5599
1488	26726	5582
1489	26743	5564
1490	26759	5545
1491	26776	5527
1492	26792	5509
1493	26807	5490
1494	26824	5472
1495	26843	5454
1496	26859	5436
1497	26875	5418
1498	26890	5399
1499	26905	5381
1500	26921	5362
1501	26936	5344
1502	26957	5326
1503	26974	5308
1504	26994	5291
1505	27010	5272
1506	27025	5254
1507	27040	5235
1508	27057	5217
1509	27074	5199
1510	27090	5181
1511	27104	5162
1512	27121	5144
1513	27137	5126
1514	27152	5107
1515	27169	5089
1516	27186	5071
1517	27200	5052
1518	27216	5034
1519	27233	5016
1520	27250	4998
1521	27268	4980
1522	27284	4962
1523	27303	4944
1524	27322	4926
1525	27340	4909
1526	27358	4891
1527	27373	4872
1528	27389	4854
1529	27409	4837
1530	27425	4818
1531	27441	4800
1532	27457	4782
1533	27471	4763
1534	27486	4745
1535	27504	4727
1536	27519	4708
1537	27537	4691
1538	27555	4673
1539	27569	4654
1540	27583	4636
1541	27599	4617
1542	27614	4599
1543	27629	4581
1544	27645	4562
1545	27660	4544
1546	27676	4526
1547	27692	4508
1548	27707	4489
1549	27723	4471
1550	27739	4453
1551	27756	4435
1552	27776	4417
1553	27795	4399
1554	27812	4382
1555	27830	4364
1556	27847	4346
1557	27864	4328
1558	27880	4309
1559	27895	4291
1560	27914	4273
1561	27929	4255
1562	27946	4237
1563	27961	4219
1564	27977	4201
1565	27992	4182
1566	28008	4164
1567	28025	4146
1568	28043	4128
1569	28061	4110
1570	28079	4093
1571	28100	4075
1572	28128	4059
1573	28145	4041
1574	28164	4023
1575	28182	4005
1576	28200	3987
1577	28218	3969
1578	28237	3952
1579	28254	3934
1580	28271	3916
1581	28288	3898
1582	28305	3880
1583	28323	3862
1584	28343	3844
1585	28361	3826
1586	28376	3808
1587	28393	3790
1588	28412	3772
1589	28430	3754
1590	28450	3737
1591	28468	3719
1592	28486	3701
1593	28504	3683
1594	28520	3665
1595	28535	3647
1596	28551	3629
1597	28567	3611
1598	28585	3593
1599	28601	3575
1600	28617	3557
1601	28632	3538
1602	28649	3520
1603	28666	3502
1604	28683	3484
1605	28698	3466
1606	28715	3448
1607	28729	3430
1608	28744	3412
1609	28760	3394
1610	28776	3376
1611	28792	3357
1612	28809	3339
1613	28828	3322
1614	28846	3304
1615	28864	3286
1616	28880	3268
1617	28894	3250
1618	28910	3232
1619	28927	3214
1620	28943	3196
1621	28959	3178
1622	28977	3160
1623	28994	3142
1624	29010	3124
1625	29024	3105
1626	29041	3088
1627	29057	3069
1628	29073	3051
1629	29088	3033
1630	29103	3015
1631	29119	2997
1632	29134	2979
1633	29150	2961
1634	29165	2943
1635	29182	2925
1636	29196	2907
1637	29211	2889
1638	29229	2871
1639	29244	2853
1640	29261	2835
1641	29281	2817
1642	29298	2799
1643	29314	2781
1644	29329	2763
1645	29345	2745
1646	29362	2727
1647	29377	2709
1648	29395	2691
1649	29413	2673
1650	29428	2655
1651	29447	2638
1652	29464	2620
1653	29479	2602
1654	29494	2584
1655	29511	2566
1656	29526	2548
1657	29541	2530
1658	29558	2512
1659	29572	2494
1660	29589	2476
